GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
TGO.1.1_1;2013;0.051202050805400;704997.000000000000000;0.001203289627820;16568.000000000000000;0.092793472091800;1277666.000000000000000;0.188449768336000;2594750.000000000000000;0.258840904271000;3563960.000000000000000;0.023008556492100;316803.000000000000000;0.010623199774300;146270.000000000000000
TGO.1.2_1;2013;0.019306378270400;265828.000000000000000;0.001613416168640;22215.000000000000000;0.038319923140300;527624.000000000000000;0.051563008642800;709967.000000000000000;0.139993684306000;1927562.000000000000000;0.010250621563900;141140.000000000000000;0.004455541531110;61348.000000000000000
TGO.1.3_1;2013;0.013780455128100;189742.000000000000000;0;0;0.022657330717200;311967.000000000000000;0.084061488029000;1157436.000000000000000;0.060423906219000;831972.000000000000000;0.006146959453750;84637.000000000000000;0.009328835472840;128448.000000000000000
TGO.2.1_1;2013;0.006527817179990;89881.000000000000000;0.000080107946613;1103.000000000000000;0.013398290109900;184480.000000000000000;0.024712829452500;340269.000000000000000;0.031299765280300;430964.000000000000000;0.003551040744960;48894.000000000000000;0.001869863276060;25746.000000000000000
TGO.2.2_1;2013;0.033986686035400;467960.000000000000000;0.007952474914130;109497.000000000000000;0.082671473532000;1138297.000000000000000;0.087069131079900;1198848.000000000000000;0.256326618683000;3529341.000000000000000;0.019880497325700;273733.000000000000000;0.005735525620960;78972.000000000000000
TGO.2.3_1;2013;0.004246447443800;58469.000000000000000;0.001126232029130;15507.000000000000000;0.009258096451990;127474.000000000000000;0.005057041090360;69630.000000000000000;0.013201905805600;181776.000000000000000;0.003842131089500;52902.000000000000000;0.000099354189453;1368.000000000000000
TGO.2.4_1;2013;0.010798957916500;148690.000000000000000;0.001373382838130;18910.000000000000000;0.021398118044100;294629.000000000000000;0.016612340036800;228734.000000000000000;0.049942111859000;687649.000000000000000;0.007790515964950;107267.000000000000000;0.001048593411780;14438.000000000000000
TGO.2.5_1;2013;0.015786639905300;217365.000000000000000;0.000361756738059;4981.000000000000000;0.030145716983200;415074.000000000000000;0.014049248881800;193443.000000000000000;0.071088503572200;978812.000000000000000;0.008013627127230;110339.000000000000000;0.000777185074076;10701.000000000000000
TGO.2.6_1;2013;0.011314902479300;155794.000000000000000;0.000135377345863;1864.000000000000000;0.019716504811200;271475.000000000000000;0.014618356651200;201279.000000000000000;0.035372560774500;487042.000000000000000;0.006561080497800;90339.000000000000000;0.000688652357012;9482.000000000000000
TGO.3.1_1;2013;0.010193899618000;140359.000000000000000;0.001644210157180;22639.000000000000000;0.002423428796540;33368.000000000000000;0.000589080285565;8111.000000000000000;0.003796085361350;52268.000000000000000;0.005833136754460;80316.000000000000000;0.000117583649652;1619.000000000000000
