GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
GIN.4.5_1;2012;0.140750824236000;1937987.000000000000000;0.001403813690010;19329.000000000000000;0.140615882654000;1936129.000000000000000;0.347952679048000;4790933.000000000000000;0.239021922295000;3291074.000000000000000;0.493244672440000;6791447.000000000000000;0.102286953725000;1408381.000000000000000
GIN.5.1_1;2012;0.004537174651680;62472.000000000000000;0.000130366059991;1795.000000000000000;0.006281174762310;86485.000000000000000;0.055019270720200;757556.000000000000000;0.025008059554900;344334.000000000000000;0.005389093249840;74202.000000000000000;0.009813187146430;135117.000000000000000
GIN.5.2_1;2012;0.008411116512370;115812.000000000000000;0.007576991610420;104327.000000000000000;0.016870094436200;232283.000000000000000;0.153037407783000;2107160.000000000000000;0.088647032483400;1220574.000000000000000;0.020172241316200;277750.000000000000000;0.018599786962500;256099.000000000000000
GIN.5.3_1;2012;0.012296025100100;169303.000000000000000;0.008293024471400;114186.000000000000000;0.020488170208100;282100.000000000000000;0.209302600375000;2881871.000000000000000;0.055491348374700;764056.000000000000000;0.012792941302000;176145.000000000000000;0.028877861657700;397617.000000000000000
GIN.5.4_1;2012;0.016816640720200;231547.000000000000000;0.001088901580750;14993.000000000000000;0.041202792435700;567318.000000000000000;0.398066554546000;5480947.000000000000000;0.196856527208000;2710502.000000000000000;0.040854471754000;562522.000000000000000;0.031407616867500;432449.000000000000000
GIN.5.5_1;2012;0.015041773993700;207109.000000000000000;0;0;0.031764217065000;437359.000000000000000;0.372010990990000;5122190.000000000000000;0.152616314516000;2101362.000000000000000;0.030592084562400;421220.000000000000000;0.021548601874900;296701.000000000000000
GIN.6.1_1;2012;0.015138804108600;208445.000000000000000;0.000000508391320;7.000000000000000;0.031390041053300;432207.000000000000000;0.137819367256000;1897624.000000000000000;0.082232513940500;1132253.000000000000000;0.017760941284000;244549.000000000000000;0.009654351172500;132930.000000000000000
GIN.6.2_1;2012;0.010195715301300;140384.000000000000000;0;0;0.015770807147000;217147.000000000000000;0.084360857889300;1161558.000000000000000;0.035878482765500;494008.000000000000000;0.018960962681900;261072.000000000000000;0.009299857167590;128049.000000000000000
GIN.6.3_1;2012;0.010288605658200;141663.000000000000000;0;0;0.016576244253000;228237.000000000000000;0.116936249620000;1610086.000000000000000;0.055871334573000;769288.000000000000000;0.014411441383900;198430.000000000000000;0.011397479755100;156931.000000000000000
GIN.6.4_1;2012;0.031389895798600;432205.000000000000000;0.002563236409620;35293.000000000000000;0.079075912232800;1088790.000000000000000;0.315911533969000;4349761.000000000000000;0.193095302966000;2658714.000000000000000;0.047818343432100;658407.000000000000000;0.031131197243900;428643.000000000000000
GIN.6.5_1;2012;0.034590219159900;476270.000000000000000;0.000131528097295;1811.000000000000000;0.049825254482700;686040.000000000000000;0.223914130057000;3083056.000000000000000;0.138077557420000;1901179.000000000000000;0.035241976832500;485244.000000000000000;0.015728973804100;216571.000000000000000
GIN.7.1_1;2012;0.012223034632000;168298.000000000000000;0;0;0.022741215285000;313122.000000000000000;0.122055604960000;1680574.000000000000000;0.067062044315500;923372.000000000000000;0.018746421544700;258118.000000000000000;0.013761717276500;189484.000000000000000
GIN.7.2_1;2012;0.029495048720500;406115.000000000000000;0.001649439325050;22711.000000000000000;0.057134251240000;786677.000000000000000;0.444737458769000;6123555.000000000000000;0.256511600496000;3531888.000000000000000;0.029872420334900;411311.000000000000000;0.023949225689400;329755.000000000000000
GIN.7.3_1;2012;0.010168262170000;140006.000000000000000;0;0;0.024909068502100;342971.000000000000000;0.217306931204000;2992082.000000000000000;0.090567880146200;1247022.000000000000000;0.017314501077500;238402.000000000000000;0.012535695294000;172603.000000000000000
GIN.8.1_1;2012;0.118837342648000;1636262.000000000000000;0.006769303057130;93206.000000000000000;0.132477409144000;1824071.000000000000000;0.355720099522000;4897882.000000000000000;0.245295543815000;3377455.000000000000000;0.120953412578000;1665398.000000000000000;0.044694932414900;615401.000000000000000
GIN.8.2_1;2012;0.061301898029100;844061.000000000000000;0.011182938618000;153977.000000000000000;0.045203614244500;622405.000000000000000;0.121735318429000;1676164.000000000000000;0.060715069190800;835981.000000000000000;0.031262870595900;430456.000000000000000;0.016665793752800;229470.000000000000000
GIN.8.3_1;2012;0.042134528471200;580147.000000000000000;0.012572008959700;173103.000000000000000;0.033001641538600;454397.000000000000000;0.142529031820000;1962471.000000000000000;0.076600554894300;1054707.000000000000000;0.037773329843600;520098.000000000000000;0.022563205695600;310671.000000000000000
GIN.8.4_1;2012;0.062959834752000;866889.000000000000000;0.004161691347980;57302.000000000000000;0.063772679845800;878081.000000000000000;0.330187089615000;4546320.000000000000000;0.116607029926000;1605553.000000000000000;0.045308197601800;623845.000000000000000;0.038473529946400;529739.000000000000000
GIN.8.5_1;2012;0.032289240044200;444588.000000000000000;0.002018023032270;27786.000000000000000;0.026164867690600;360262.000000000000000;0.169822310360000;2338270.000000000000000;0.057861613964600;796692.000000000000000;0.018240499553700;251152.000000000000000;0.026115408477800;359581.000000000000000
GIN.8.6_1;2012;0.062774126665400;864332.000000000000000;0.003224871399330;44403.000000000000000;0.029351972877500;404145.000000000000000;0.104132777354000;1433796.000000000000000;0.036965859172300;508980.000000000000000;0.012895563721400;177558.000000000000000;0.014914966673000;205363.000000000000000
