ORIG_FID;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
9243;2015;0;0;0.003840823797540;52884.000000000000000;0;0;0;0;0;0;0;0;0;0
9244;2015;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9258;2015;0.000136176246509;1875.000000000000000;0.003212016361660;44226.000000000000000;0.000191082509101;2631.000000000000000;0.000015542248935;214.000000000000000;0.000212725453880;2929.000000000000000;0.000039146131663;539.000000000000000;0.000000798900646;11.000000000000000
9259;2015;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
9261;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
9405;2015;0;0;0.003954558198620;54450.000000000000000;0;0;0;0;0;0;0;0;0;0
9507;2015;0;0;0.003857237574450;53110.000000000000000;0;0;0;0;0;0;0;0;0;0
9508;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9509;2015;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9510;2015;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9511;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9512;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9513;2015;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9514;2015;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9515;2015;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9516;2015;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9517;2015;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9518;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9519;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9520;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9521;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9522;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9523;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9524;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9525;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9526;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9527;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9528;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9529;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9530;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9531;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9532;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9533;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9534;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9535;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9536;2015;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9537;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9538;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9539;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9540;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9541;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9542;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9543;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9544;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9545;2015;0;0;0.003823829001970;52650.000000000000000;0;0;0;0;0;0;0;0;0;0
9546;2015;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9549;2015;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9550;2015;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9551;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9552;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9553;2015;0.000048369802760;666.000000000000000;0.002510872103630;34572.000000000000000;0.000059699666470;822.000000000000000;0.000966815036548;13312.000000000000000;0.000222167006971;3059.000000000000000;0.000055705163239;767.000000000000000;0.000009223671097;127.000000000000000
9554;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9555;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9556;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9557;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9558;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9559;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9560;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9561;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9562;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9563;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9564;2015;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9565;2015;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9566;2015;0;0;0.003922892682100;54014.000000000000000;0;0;0;0;0;0;0;0;0;0
9567;2015;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9568;2015;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9569;2015;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9570;2015;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9571;2015;0.000048732939417;671.000000000000000;0.002283839065450;31446.000000000000000;0.000140243377071;1931.000000000000000;0.000957809247445;13188.000000000000000;0.000390371906659;5375.000000000000000;0.000052436933322;722.000000000000000;0.000015760130929;217.000000000000000
9572;2015;0;0;0.003939306459010;54240.000000000000000;0;0;0;0;0;0;0;0;0;0
9573;2015;0;0;0.003906478905190;53788.000000000000000;0;0;0;0;0;0;0;0;0;0
9574;2015;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9575;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9576;2015;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9577;2015;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9578;2015;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9580;2015;0;0;0.000305906320158;4212.000000000000000;0;0;0;0;0;0;0;0;0;0
9919;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9923;2015;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9925;2015;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9951;2015;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9952;2015;0;0;0.003922892682100;54014.000000000000000;0;0;0;0;0;0;0;0;0;0
9953;2015;0;0;0.003922892682100;54014.000000000000000;0;0;0;0;0;0;0;0;0;0
9954;2015;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9987;2015;0;0;0.001192903919420;16425.000000000000000;0;0;0;0;0;0;0;0;0;0
9990;2015;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
18158;2015;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18160;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18164;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18167;2015;0;0;0.002859701176690;39375.000000000000000;0;0;0;0;0;0;0;0;0;0
18169;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18521;2015;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18522;2015;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18523;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18525;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18526;2015;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18527;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18528;2015;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18529;2015;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18530;2015;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18531;2015;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18532;2015;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18533;2015;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
