GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
ZWE.1.1_1;2010;0.007226274226750;99498.000000000000000;0;0;0.005694345924020;78405.000000000000000;0.011372786462400;156591.000000000000000;0.010662563788000;146812.000000000000000;0.004314426626060;59405.000000000000000;0.000325733581649;4485.000000000000000
ZWE.10.1_1;2010;0.008590288139110;118279.000000000000000;0;0;0.023033612921500;317148.000000000000000;0.121194535318000;1668718.000000000000000;0.156846856574000;2159612.000000000000000;0.088378020847700;1216870.000000000000000;0.007647004357960;105291.000000000000000
ZWE.10.2_1;2010;0.030572039418900;420944.000000000000000;0;0;0.087046398725100;1198535.000000000000000;0.215538673564000;2967735.000000000000000;0.239921484423000;3303460.000000000000000;0.042982234684100;591819.000000000000000;0.012053086676300;165958.000000000000000
ZWE.10.3_1;2010;0.054255303820400;747037.000000000000000;0;0;0.143154571026000;1971084.000000000000000;0.258668486986000;3561586.000000000000000;0.326383378384000;4493947.000000000000000;0.147508870057000;2031038.000000000000000;0.017113759133300;235638.000000000000000
ZWE.10.4_1;2010;0.015368233848700;211604.000000000000000;0;0;0.031951377698200;439936.000000000000000;0.142358938610000;1960129.000000000000000;0.226794602651000;3122717.000000000000000;0.103011992375000;1418364.000000000000000;0.013024186725400;179329.000000000000000
ZWE.10.5_1;2010;0.017070763753000;235046.000000000000000;0;0;0.058780059198400;809338.000000000000000;0.314212635431000;4326369.000000000000000;0.220038880904000;3029698.000000000000000;0.116104376165000;1598632.000000000000000;0.029461785402700;405657.000000000000000
ZWE.10.6_1;2010;0.015406000061000;212124.000000000000000;0;0;0.038576007111100;531150.000000000000000;0.147383297401000;2029309.000000000000000;0.151678550412000;2088450.000000000000000;0.069764507319500;960582.000000000000000;0.009561969206870;131658.000000000000000
ZWE.10.7_1;2010;0.005318281601660;73227.000000000000000;0;0;0.019979052614500;275090.000000000000000;0.097836423479800;1347102.000000000000000;0.119872064240000;1650509.000000000000000;0.059655291170000;821389.000000000000000;0.010296667292000;141774.000000000000000
ZWE.10.8_1;2010;0.003919043433530;53961.000000000000000;0;0;0.019768505980500;272191.000000000000000;0.068883392534100;948450.000000000000000;0.088449704023800;1217857.000000000000000;0.040513123296100;557822.000000000000000;0.006161993311360;84844.000000000000000
ZWE.2.1_1;2010;0.015162117482000;208766.000000000000000;0;0;0.012395815053600;170677.000000000000000;0.018635664864300;256593.000000000000000;0.022068976704900;303866.000000000000000;0.007025604909890;96735.000000000000000;0.001194792230040;16451.000000000000000
ZWE.3.1_1;2010;0.034518318101700;475280.000000000000000;0;0;0.140867100594000;1939588.000000000000000;0.065164364771400;897243.000000000000000;0.169472755013000;2333457.000000000000000;0.046554845746500;641010.000000000000000;0.002652204890670;36518.000000000000000
ZWE.3.2_1;2010;0.006698200899620;92227.000000000000000;0.000677758257292;9332.000000000000000;0.019161123607400;263828.000000000000000;0.176017712244000;2423574.000000000000000;0.051141988002200;704170.000000000000000;0.025135593149000;346090.000000000000000;0.007054365333150;97131.000000000000000
ZWE.3.3_1;2010;0.037669109623000;518663.000000000000000;0.001072923567830;14773.000000000000000;0.072759367960100;1001818.000000000000000;0.193548933278000;2664960.000000000000000;0.099538372365600;1370536.000000000000000;0.037245837535200;512835.000000000000000;0.008330645429100;114704.000000000000000
ZWE.3.4_1;2010;0.017336289276900;238702.000000000000000;0;0;0.075456311286900;1038952.000000000000000;0.231584375161000;3188667.000000000000000;0.237278648458000;3267071.000000000000000;0.093991895688400;1294167.000000000000000;0.017318350326000;238455.000000000000000
ZWE.3.5_1;2010;0.021976086348000;302587.000000000000000;0.000053816852620;741.000000000000000;0.083255324649700;1146336.000000000000000;0.167388423227000;2304758.000000000000000;0.154347169079000;2125194.000000000000000;0.049722051044700;684619.000000000000000;0.007412999095960;102069.000000000000000
ZWE.3.6_1;2010;0.003977217926040;54762.000000000000000;0.000430970584952;5934.000000000000000;0.016308539909200;224551.000000000000000;0.113416801764000;1561627.000000000000000;0.059563780732300;820129.000000000000000;0.017981365235000;247584.000000000000000;0.007119512049480;98028.000000000000000
ZWE.3.7_1;2010;0.011471559633200;157951.000000000000000;0.000670277642150;9229.000000000000000;0.037247290081800;512855.000000000000000;0.219906626534000;3027877.000000000000000;0.146650051862000;2019213.000000000000000;0.055764354513700;767815.000000000000000;0.012912340635000;177789.000000000000000
ZWE.4.1_1;2010;0.009690083819580;133422.000000000000000;0;0;0.025950907572100;357316.000000000000000;0.067560558318700;930236.000000000000000;0.069241590532900;953382.000000000000000;0.014518203561100;199900.000000000000000;0.007660004650290;105470.000000000000000
ZWE.4.2_1;2010;0.033479602007000;460978.000000000000000;0.000510715394907;7032.000000000000000;0.069784552463000;960858.000000000000000;0.103768406032000;1428779.000000000000000;0.105414867637000;1451449.000000000000000;0.034487160976500;474851.000000000000000;0.013562791015600;186745.000000000000000
