GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
ZWE.1.1_1;2015;0.008961704312260;123393.000000000000000;0;0;0.008538940615760;117572.000000000000000;0.006018626959040;82870.000000000000000;0.010531471454700;145007.000000000000000;0.005395920219000;74296.000000000000000;0.000149467048168;2058.000000000000000
ZWE.10.1_1;2015;0.015417765688700;212286.000000000000000;0;0;0.059893726699200;824672.000000000000000;0.091465045571900;1259375.000000000000000;0.149464070448000;2057959.000000000000000;0.086514113012800;1191206.000000000000000;0.002935596738080;40420.000000000000000
ZWE.10.2_1;2015;0.042348198080400;583089.000000000000000;0;0;0.114143583470000;1571634.000000000000000;0.153172421993000;2109019.000000000000000;0.254650525127000;3506263.000000000000000;0.061029400281400;840309.000000000000000;0.002769788540330;38137.000000000000000
ZWE.10.3_1;2015;0.057812300006600;796013.000000000000000;0;0;0.219282249365000;3019280.000000000000000;0.198164835957000;2728516.000000000000000;0.300194834183000;4133359.000000000000000;0.161443004619000;2222896.000000000000000;0.010187145276200;140266.000000000000000
ZWE.10.4_1;2015;0.023332764899800;321267.000000000000000;0;0;0.073901360120100;1017542.000000000000000;0.090577902717900;1247160.000000000000000;0.244263582062000;3363246.000000000000000;0.097065121219600;1336482.000000000000000;0.003368600888310;46382.000000000000000
ZWE.10.5_1;2015;0.028764926157200;396062.000000000000000;0;0;0.118203088162000;1627529.000000000000000;0.205191312395000;2825263.000000000000000;0.271506602488000;3738353.000000000000000;0.124822197898000;1718667.000000000000000;0.007180373753260;98866.000000000000000
ZWE.10.6_1;2015;0.020929163364800;288172.000000000000000;0;0;0.072817978216600;1002625.000000000000000;0.103666146750000;1427371.000000000000000;0.159061191283000;2190101.000000000000000;0.073413304452600;1010822.000000000000000;0.002482547444360;34182.000000000000000
ZWE.10.7_1;2015;0.004373036882560;60212.000000000000000;0;0;0.033576268985200;462309.000000000000000;0.064863760246500;893104.000000000000000;0.137734393278000;1896454.000000000000000;0.068749612989500;946608.000000000000000;0.003660708015490;50404.000000000000000
ZWE.10.8_1;2015;0.005296348147560;72925.000000000000000;0;0;0.042716346023600;588158.000000000000000;0.053531354580300;737069.000000000000000;0.081520620837500;1122451.000000000000000;0.043363891311000;597074.000000000000000;0.001267201679510;17448.000000000000000
ZWE.2.1_1;2015;0.017911134605500;246617.000000000000000;0;0;0.014174894165300;195173.000000000000000;0.022524495327900;310138.000000000000000;0.014848440037300;204447.000000000000000;0.006482642979810;89259.000000000000000;0.000541364128788;7454.000000000000000
ZWE.3.1_1;2015;0.036229999049900;498848.000000000000000;0;0;0.164368143021000;2263172.000000000000000;0.053805377502000;740842.000000000000000;0.141677331104000;1950744.000000000000000;0.061245393965200;843283.000000000000000;0.001903344475870;26207.000000000000000
ZWE.3.2_1;2015;0.007963005877190;109642.000000000000000;0.000677758257292;9332.000000000000000;0.023078351357700;317764.000000000000000;0.166408607899000;2291267.000000000000000;0.056239845652900;774362.000000000000000;0.027766881368200;382320.000000000000000;0.003752291080470;51665.000000000000000
ZWE.3.3_1;2015;0.023651308375700;325653.000000000000000;0.001072923567830;14773.000000000000000;0.084607137170300;1164949.000000000000000;0.173596389640000;2390235.000000000000000;0.103341720460000;1422904.000000000000000;0.059601546944700;820649.000000000000000;0.004294163600580;59126.000000000000000
ZWE.3.4_1;2015;0.021904984190400;301608.000000000000000;0;0;0.107567105978000;1481083.000000000000000;0.175664670785000;2418713.000000000000000;0.238374740144000;3282163.000000000000000;0.119461066171000;1644850.000000000000000;0.009993302928480;137597.000000000000000
ZWE.3.5_1;2015;0.028342598224700;390247.000000000000000;0.000053816852620;741.000000000000000;0.099143134427700;1365094.000000000000000;0.144390397698000;1988100.000000000000000;0.144501662770000;1989632.000000000000000;0.063986349455000;881023.000000000000000;0.003737910868840;51467.000000000000000
ZWE.3.6_1;2015;0.004765151845170;65611.000000000000000;0.000430970584952;5934.000000000000000;0.019009768248700;261744.000000000000000;0.114191299627000;1572291.000000000000000;0.053630127751100;738429.000000000000000;0.022486365978900;309613.000000000000000;0.004284504165500;58993.000000000000000
ZWE.3.7_1;2015;0.012066813242000;166147.000000000000000;0.000670277642150;9229.000000000000000;0.052022884905700;716299.000000000000000;0.200183585263000;2756312.000000000000000;0.142981064331000;1968695.000000000000000;0.067437019227800;928535.000000000000000;0.009260856290590;127512.000000000000000
ZWE.4.1_1;2015;0.008751666069640;120501.000000000000000;0;0;0.022164481645800;305181.000000000000000;0.078946490328100;1087008.000000000000000;0.069740031908800;960245.000000000000000;0.012159558344300;167424.000000000000000;0.002859120158040;39367.000000000000000
ZWE.4.2_1;2015;0.011035214625800;151943.000000000000000;0.000510715394907;7032.000000000000000;0.060947186142200;839177.000000000000000;0.135452515151000;1865035.000000000000000;0.124630824880000;1716032.000000000000000;0.022623486380700;311501.000000000000000;0.005808152952430;79972.000000000000000
ZWE.4.3_1;2015;0.009271968272300;127665.000000000000000;0.001969580602170;27119.000000000000000;0.064808345592600;892341.000000000000000;0.244428155595000;3365512.000000000000000;0.248263241833000;3418317.000000000000000;0.069580324406900;958046.000000000000000;0.017393083850100;239484.000000000000000
ZWE.4.4_1;2015;0.011739046095100;161634.000000000000000;0;0;0.049005074028400;674747.000000000000000;0.157910701725000;2174260.000000000000000;0.115817135069000;1594677.000000000000000;0.036290788126300;499685.000000000000000;0.008423681040720;115985.000000000000000
ZWE.4.5_1;2015;0.032700601249700;450252.000000000000000;0.000210691888599;2901.000000000000000;0.052197117873900;718698.000000000000000;0.096029818609500;1322227.000000000000000;0.172004035397000;2368310.000000000000000;0.025863827401600;356117.000000000000000;0.002007056305210;27635.000000000000000
ZWE.4.6_1;2015;0.016840317230300;231873.000000000000000;0.000435909243492;6002.000000000000000;0.020944487731700;288383.000000000000000;0.080617064206600;1110010.000000000000000;0.067256467681800;926049.000000000000000;0.009672508005370;133180.000000000000000;0.000658802523777;9071.000000000000000
ZWE.4.7_1;2015;0.007938603093820;109306.000000000000000;0;0;0.020671045828700;284618.000000000000000;0.096211750074800;1324732.000000000000000;0.093394535887100;1285942.000000000000000;0.012989688743000;178854.000000000000000;0.001810526746250;24929.000000000000000
ZWE.5.1_1;2015;0.032307614759100;444841.000000000000000;0;0;0.080483793053400;1108175.000000000000000;0.139469169718000;1920340.000000000000000;0.204222463793000;2811923.000000000000000;0.106124000901000;1461213.000000000000000;0.004164959577890;57347.000000000000000
ZWE.5.2_1;2015;0.011166306959100;153748.000000000000000;0;0;0.033979205420200;467857.000000000000000;0.065276138234600;898782.000000000000000;0.072512362405700;998417.000000000000000;0.026417538176800;363741.000000000000000;0.003180205590470;43788.000000000000000
ZWE.5.3_1;2015;0.014067478342000;193694.000000000000000;0;0;0.050879149689700;700551.000000000000000;0.079585392963100;1095805.000000000000000;0.102001964076000;1404457.000000000000000;0.051692866311500;711755.000000000000000;0.004499698948640;61956.000000000000000
ZWE.5.4_1;2015;0.015486979535600;213239.000000000000000;0.000062459505065;860.000000000000000;0.047385048772600;652441.000000000000000;0.124735408237000;1717472.000000000000000;0.122352941255000;1684668.000000000000000;0.038538894544700;530639.000000000000000;0.001698462773790;23386.000000000000000
ZWE.5.5_1;2015;0.014091300106800;194022.000000000000000;0;0;0.049620445407900;683220.000000000000000;0.074625963006200;1027519.000000000000000;0.109452075739000;1507037.000000000000000;0.045445826394900;625740.000000000000000;0.003455608431410;47580.000000000000000
