GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
UGA.1.1_1;2009;0.032934388629700;453471.000000000000000;0.000068051809589;937.000000000000000;0.069725651697200;960047.000000000000000;0.060839988201000;837701.000000000000000;0.070741853319100;974039.000000000000000;0.008030767177460;110575.000000000000000;0.008896848105250;122500.000000000000000
UGA.10.1_1;2009;0.004056962735990;55860.000000000000000;0;0;0.005206145001870;71683.000000000000000;0.007431736947480;102327.000000000000000;0.010924094808600;150413.000000000000000;0.002745313129620;37800.000000000000000;0.000440339510711;6063.000000000000000
UGA.10.2_1;2009;0.010595601388400;145890.000000000000000;0;0;0.011717984168900;161344.000000000000000;0.010774191996500;148349.000000000000000;0.023666124351300;325857.000000000000000;0.008419686537480;115930.000000000000000;0.000991871465906;13657.000000000000000
UGA.10.3_1;2009;0.008002224636190;110182.000000000000000;0;0;0.009049510756010;124602.000000000000000;0.012100221814500;166607.000000000000000;0.017607261850600;242433.000000000000000;0.004461424344960;61429.000000000000000;0.000776458800761;10691.000000000000000
UGA.10.4_1;2009;0.008973542567290;123556.000000000000000;0;0;0.010729453560300;147733.000000000000000;0.010983068201800;151225.000000000000000;0.016745030171400;230561.000000000000000;0.004529040390560;62360.000000000000000;0.000863103207207;11884.000000000000000
UGA.11.1_1;2009;0.004425401188550;60933.000000000000000;0;0;0.006901775309730;95030.000000000000000;0.004057471127320;55867.000000000000000;0.004230687312870;58252.000000000000000;0.000987005434697;13590.000000000000000;0.000601717441241;8285.000000000000000
UGA.11.2_1;2009;0.000929266706177;12795.000000000000000;0;0;0.000636505933016;8764.000000000000000;0.000471206126587;6488.000000000000000;0.000483698027600;6660.000000000000000;0.000235457808630;3242.000000000000000;0.000115404829708;1589.000000000000000
UGA.11.3_1;2009;0.005733419428350;78943.000000000000000;0;0;0.008527247615390;117411.000000000000000;0.005654981910360;77863.000000000000000;0.009925178491560;136659.000000000000000;0.001717854271290;23653.000000000000000;0.000932026544773;12833.000000000000000
UGA.12.1_1;2009;0.000773989471491;10657.000000000000000;0;0;0.000698602301424;9619.000000000000000;0.000535190805613;7369.000000000000000;0.000616242907535;8485.000000000000000;0.000095214431559;1311.000000000000000;0.000034207473123;471.000000000000000
UGA.12.2_1;2009;0.007395205399750;101824.000000000000000;0.000080180573944;1104.000000000000000;0.010347288542100;142471.000000000000000;0.008869394973960;122122.000000000000000;0.013534321101700;186353.000000000000000;0.002814672231180;38755.000000000000000;0.002799202609570;38542.000000000000000
UGA.12.3_1;2009;0.008834896991510;121647.000000000000000;0.000003631366574;50.000000000000000;0.011899770379600;163847.000000000000000;0.014806316185100;203867.000000000000000;0.017009393657900;234201.000000000000000;0.003407964901970;46924.000000000000000;0.002600857367320;35811.000000000000000
